Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-09-18;16,0739;16,0913;15,6799;15,6826;;
2019-09-17;16,2464;16,6066;15,8357;16,0452;;
2019-09-16;15,2637;16,0819;15,0591;15,8038;;
2019-09-13;14,7873;14,802;14,0055;14,313;;
2019-09-12;15,7093;15,8108;14,4508;14,7917;;
2019-09-11;15,2144;15,9728;15,1482;15,7356;;
2019-09-10;15,4241;15,935;15,3005;15,4266;;
2019-09-09;14,928;15,4934;14,9212;15,1721;;
2019-09-06;15,2899;15,3752;14,6932;14,9111;;
2019-09-05;16,3041;16,4343;15,5914;15,664;;
2019-09-04;17,4317;17,435;16,6837;16,883;;
2019-09-03;19,1611;19,4494;18,2202;18,5722;;
2019-09-02;17,9652;18,143;17,5668;17,887;;
2019-08-30;17,7226;18,1319;16,5618;17,8976;;
2019-08-29;19,1944;19,3521;17,8439;18,0194;;
2019-08-28;20,0248;21,2869;19,6056;19,6592;;
2019-08-27;20,6161;20,6874;19,0761;19,6163;;
2019-08-26;21,5006;22,0037;20,0615;20,4285;;
2019-08-23;17,9352;20,6598;17,7898;20,5017;;
2019-08-22;17,7073;19,2279;16,985;18,6846;;
2019-08-21;18,5728;18,5728;17,2835;17,3453;;
2019-08-20;18,55;19,4985;17,9182;19,1133;;
2019-08-19;20,7787;20,79;18,8339;18,8531;;
2019-08-16;22,9492;22,9605;20,8422;21,3016;;
2019-08-15;23,4394;27,17;22,6093;23,9541;;
2019-08-14;19,344;23,3704;18,83;22,8658;;
2019-08-13;20,4586;21,605;18,8848;19,4863;;
2019-08-12;19,7903;20,546;18,489;19,9864;;
2019-08-09;18,8557;19,6489;18,3164;19,4773;;
2019-08-08;20,3956;20,4899;18,4522;18,7314;;
2019-08-07;20,9607;22,3539;19,6185;21,593;;
2019-08-06;21,2357;22,0698;20,1053;21,8098;;
2019-08-05;19,3229;21,7955;19,305;21,2576;;
2019-08-02;16,4423;19,2659;16,3794;18,4935;;
2019-08-01;15,3175;15,3262;14,4341;14,5211;;
2019-07-31;15,6738;15,7154;15,1002;15,3879;;
2019-07-30;14,0457;15,9895;14,0444;15,5662;;
2019-07-29;14,3592;14,3599;13,7966;13,8892;;
2019-07-26;14,6043;14,6304;13,7364;13,7405;;
2019-07-25;14,1643;15,5849;13,7949;14,663;;
2019-07-24;14,0107;14,36;13,8988;14,3262;;
2019-07-23;14,1922;14,3064;13,7282;13,9122;;
2019-07-22;15,1946;15,2121;14,3775;14,7131;;
2019-07-19;14,4695;15,1916;13,9999;14,6353;;
2019-07-18;14,9718;15,0026;14,4184;14,6409;;
2019-07-17;13,8032;14,3655;13,3351;14,1294;;
2019-07-16;14,0183;14,2753;13,5823;13,7446;;
2019-07-15;13,5801;14,638;13,5306;14,1048;;
2019-07-12;13,9061;14,1139;13,5187;13,7901;;
2019-07-11;13,7282;14,0385;13,3294;13,7558;;
2019-07-10;13,8336;14,3118;13,3738;13,8432;;
2019-07-09;13,9624;14,5329;13,5369;13,5952;;
2019-07-08;13,8408;13,8594;13,3961;13,4176;;
2019-07-05;12,8817;13,7792;12,8216;13,3942;;
2019-07-04;12,6132;12,8347;12,6132;12,7404;;
2019-07-03;12,9534;12,9701;12,5598;12,7142;;
2019-07-02;13,6166;13,6213;12,9656;12,996;;
2019-07-01;14,7382;14,7418;13,4032;13,5392;;
2019-06-28;15,203;15,203;14,681;14,6899;;
2019-06-27;15,0415;15,6996;14,6625;15,2691;;
2019-06-26;15,4721;15,511;14,8908;15,1681;;
2019-06-25;15,2855;15,3553;15,0537;15,1857;;
2019-06-24;14,931;15,2059;14,8425;15,1267;;
2019-06-21;14,2402;14,7524;14,0779;14,4208;;
2019-06-20;14,1504;14,2202;13,4552;14,0231;;
2019-06-19;14,1448;14,5313;14,0754;14,3347;;
2019-06-18;15,5089;15,7818;14,0125;14,1006;;
2019-06-17;15,445;15,4917;14,9272;14,9442;;
2019-06-14;15,3026;15,7508;14,8923;14,9218;;
2019-06-13;15,5316;15,6157;14,8787;14,9937;;
2019-06-12;15,6506;15,9122;15,4212;15,4819;;
2019-06-11;15,8701;15,8701;14,83;15,2053;;
2019-06-07;16,1918;16,2146;15,1544;15,4501;;
2019-06-06;16,4441;16,7584;15,9101;16,2496;;
2019-06-05;16,8015;17,1835;16,2753;16,6639;;
2019-06-04;17,9705;17,9766;16,7832;16,8231;;
2019-06-03;18,9605;19,2552;17,7322;17,7505;;
2019-05-31;18,4264;18,9995;17,9519;18,0049;;
2019-05-30;17,6619;17,696;16,8591;17,1015;;
2019-05-29;18,2009;18,6096;17,7732;18,1377;;
2019-05-28;16,7898;17,4356;16,4314;16,7706;;
2019-05-27;16,8605;17,2827;16,6819;16,8056;;
2019-05-24;17,4662;17,645;16,7218;17,2171;;
2019-05-23;16,7927;18,4893;16,7843;18,1624;;
2019-05-22;16,2231;17,435;15,4536;15,9613;;
2019-05-21;16,8935;17,1519;16,1184;16,2912;;
2019-05-20;16,3575;18,2915;15,8242;17,754;;
2019-05-17;15,7163;16,7916;15,3728;15,5365;;
2019-05-16;17,0527;17,2621;15,4322;15,4322;;
2019-05-15;17,473;18,5566;16,9364;17,0354;;
2019-05-14;19,01;19,0126;17,7926;17,7926;;
2019-05-13;18,653;19,8942;18,261;19,3791;;
2019-05-10;19,6712;19,7447;17,7471;18,4444;;
2019-05-09;18,8565;20,50;18,8565;20,0077;;
2019-05-08;17,6536;19,2583;17,2588;18,0762;;
